Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
CAMDEN-NORTH ST MARYS,237,366,0,484,717,1,6,10,0,51,59,0,0,2,0,19,22,0,184,209,0,2367,1165,772,1202,32.62
CAMDEN-MARY LEE CLARK,263,354,0,899,1270,0,13,27,0,47,56,0,3,4,0,23,31,0,280,318,1,3589,1420,821,2169,22.88
CAMDEN-SOUTH ST MARYS,143,148,0,701,824,0,7,13,0,14,20,0,1,1,0,13,15,0,138,137,0,2175,650,375,1525,17.24
CAMDEN-MUSH BLUFF,168,232,0,839,977,1,9,17,0,32,58,0,0,1,0,12,30,0,199,213,2,2790,973,559,1817,20.04
CAMDEN-WEST SAINT MARYS,78,118,0,1234,1340,0,11,12,0,18,24,0,1,1,0,13,18,0,216,218,1,3303,729,294,2574,8.9
CAMDEN-Total,2553,3456,1,10192,12155,9,120,203,0,296,413,0,20,22,0,186,264,0,2566,2696,7,35159,12803,7534,22356,21.43
CANDLER-METTER - 1685,364,525,0,964,1093,2,3,5,0,15,20,0,0,0,0,6,9,0,97,78,1,3182,1123,947,2059,29.76
CANDLER-CANDLER - 1736,202,228,0,859,1039,0,8,7,0,34,49,0,0,1,0,6,5,0,91,71,0,2600,702,540,1898,20.77
CANDLER-88888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
CANDLER-99999,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0
CANDLER-Total,566,753,0,1825,2134,2,11,12,0,49,69,0,0,1,0,12,14,0,188,150,1,5787,1826,1487,3961,25.7
CARROLL-KANSAS,6,3,0,395,456,1,1,1,0,1,0,0,0,0,0,1,3,0,36,39,1,944,92,16,852,1.69
CARROLL-BOWDON,174,229,0,923,1120,1,4,3,0,3,4,0,0,2,0,8,10,0,118,103,2,2704,660,437,2044,16.16
CARROLL-SANDHILL,269,328,0,1270,1409,4,1,12,0,28,30,0,1,2,0,13,21,0,160,136,0,3684,1001,705,2683,19.14
CARROLL-CENTER POINT,13,12,0,659,643,0,0,1,0,7,6,0,1,0,0,1,3,0,53,50,0,1449,147,44,1302,3.04
CARROLL-LOWELL,23,21,0,538,591,2,0,3,0,2,7,0,0,0,0,1,1,0,65,53,0,1307,176,58,1131,4.44
CARROLL-MT ZION,33,39,0,696,793,1,9,8,0,5,4,0,0,1,0,1,5,1,68,67,2,1733,243,106,1490,6.12
CARROLL-BURWELL,38,39,0,535,558,0,2,3,0,8,5,0,0,0,0,4,5,0,38,47,1,1283,190,104,1093,8.11
CARROLL-CLEM,141,174,0,1206,1366,1,1,3,0,16,15,0,0,1,0,8,13,0,134,105,1,3185,612,372,2573,11.68
CARROLL-BOWDON JUNCTION,95,118,0,387,432,0,1,2,0,5,6,0,0,2,0,2,5,0,54,55,0,1164,345,236,819,20.27
CARROLL-TYUS,40,51,0,617,692,2,1,2,0,4,5,0,0,0,0,2,3,0,58,53,0,1530,219,108,1311,7.06
CARROLL-FAIRFIELD,153,200,1,1295,1372,0,8,16,0,16,29,0,2,0,0,13,18,0,183,166,0,3472,805,456,2667,13.13
CARROLL-HULETT,57,62,0,776,843,0,4,1,0,13,10,0,1,1,0,6,8,0,102,95,1,1980,361,163,1619,8.23
CARROLL-BETHANY,432,530,0,1173,1297,3,3,10,0,29,37,0,1,2,0,15,12,0,182,204,0,3930,1457,1071,2473,27.25
CARROLL-V R COUNTY SOUTH,107,129,0,910,1046,0,6,5,0,14,13,0,0,0,0,7,10,0,88,99,2,2436,480,291,1956,11.95
CARROLL-V R COUNTY NORTH,331,392,0,1492,1691,2,10,7,0,45,35,0,4,0,0,22,32,0,242,219,1,4525,1340,878,3185,19.4
CARROLL-VILLA RICA CITY,713,1063,2,1363,1773,0,23,16,0,69,89,0,0,4,0,28,44,0,288,338,1,5814,2678,2051,3136,35.28
CARROLL-TEMPLE COUNTY,140,177,0,1315,1487,2,6,5,0,14,26,0,3,2,0,12,11,1,184,169,2,3556,752,397,2804,11.16
CARROLL-TEMPLE CITY,259,343,0,890,1060,1,5,9,0,25,20,0,0,2,0,18,19,0,128,135,2,2916,965,700,1951,24.01
CARROLL-WHITESBURG,50,44,0,724,807,0,0,2,0,4,6,0,0,1,0,2,6,0,69,70,0,1785,254,115,1531,6.44
CARROLL-ROOPVILLE,32,41,0,588,574,1,0,2,0,2,1,0,0,0,0,2,3,0,44,52,0,1342,179,83,1163,6.18
CARROLL-WEST CARROLLTON,662,921,2,408,525,4,8,12,0,31,40,0,0,5,0,17,23,1,156,174,3,2992,2055,1722,937,57.55
CARROLL-EAST CARROLLTON REC,123,244,0,450,566,1,10,11,0,15,14,0,0,0,0,7,6,0,67,74,0,1588,571,430,1017,27.08
CARROLL-BONNER,268,483,2,931,1123,2,23,20,0,30,42,0,0,2,0,16,18,0,165,162,0,3287,1231,904,2056,27.5
CARROLL-UNIVERSITY OF W. GA,398,732,1,667,809,3,7,10,0,16,34,0,1,1,0,20,32,0,106,133,7,2977,1498,1252,1479,42.06
CARROLL-COUNTY ADMIN BLDG,139,211,0,750,861,0,8,10,0,31,31,0,1,0,0,12,12,0,81,120,0,2267,656,455,1611,20.07
CARROLL-TABERNACLE CHURCH,56,100,0,437,620,1,7,6,0,8,10,0,0,1,0,2,7,0,68,62,1,1386,328,197,1058,14.21
CARROLL-EMC,138,178,0,405,423,0,1,2,0,6,8,0,0,0,0,4,8,0,59,44,1,1277,449,345,828,27.02
CARROLL-OLD CAMP CHURCH,91,90,1,790,910,0,2,2,0,5,13,0,0,1,0,9,11,0,78,74,0,2077,377,225,1700,10.83
CARROLL-OAK GROVE,60,71,0,518,580,1,2,0,0,8,7,0,0,0,0,5,5,0,60,64,1,1382,283,158,1099,11.43
CARROLL-NEW HOPE,87,151,0,375,414,0,2,5,0,11,7,0,0,0,0,7,12,0,55,60,0,1186,397,282,789,23.78
CARROLL-88888,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
CARROLL-99999,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,10,6,5,4,50
CARROLL-Total,5129,7179,9,23484,26845,33,155,189,0,471,554,0,15,30,0,265,366,4,3190,3222,29,71169,20807,14366,50362,20.19
CATOOSA-nan,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0
CATOOSA-BLACKSTOCK,6,8,0,772,817,1,2,2,0,8,12,0,1,0,0,3,3,0,99,93,0,1827,237,45,1590,2.46
CATOOSA-BOYNTON,41,42,0,2322,2688,2,15,23,0,18,18,0,0,0,0,19,22,0,295,306,3,5814,802,198,5012,3.41
CATOOSA-CATOOSA KEITH,9,6,0,1037,1081,4,2,5,0,18,11,0,0,0,0,6,4,0,110,108,3,2404,282,61,2122,2.54
CATOOSA-CHAMBERS,9,8,0,1022,1111,3,4,3,0,4,9,0,0,0,0,7,8,0,130,99,1,2418,282,52,2136,2.15
CATOOSA-FT OGLETHORPE,51,91,1,1494,1979,4,17,26,0,10,17,0,5,1,0,13,10,0,224,229,0,4172,695,242,3477,5.8
CATOOSA-GRAYSVILLE,33,36,1,1655,1962,1,19,26,0,9,18,0,1,2,0,12,15,0,250,240,0,4280,662,172,3618,4.02
CATOOSA-LAKEVIEW,43,50,0,1362,1762,2,15,14,0,7,17,0,1,2,0,10,14,0,204,222,1,3726,600,173,3126,4.64
CATOOSA-POPLAR SPRINGS,17,17,0,1683,1941,5,3,1,0,15,11,0,2,2,0,8,7,0,207,216,1,4136,507,83,3629,2.01
CATOOSA-RINGGOLD,81,106,0,2823,3383,5,16,18,0,29,37,0,2,6,0,18,17,0,382,373,1,7297,1086,330,6211,4.52
CATOOSA-WESTSIDE,63,81,0,2021,2708,3,22,18,0,23,38,0,2,0,0,14,21,0,346,361,3,5724,992,282,4732,4.93
CATOOSA-WOODSTATION,35,24,0,1195,1306,5,2,4,0,4,9,0,0,2,0,5,6,0,149,125,0,2871,365,91,2506,3.17
CATOOSA-Total,388,469,2,17388,20738,35,117,140,0,145,197,0,14,15,0,115,127,0,2396,2372,13,44671,6510,1729,38161,3.87
CHARLTON-FOLKSTON,504,697,0,456,556,0,9,4,0,1,2,0,1,0,0,4,9,0,119,108,0,2470,1458,1231,1012,49.84
CHARLTON-GA BEND,2,2,0,203,220,0,0,1,0,0,0,0,0,1,0,1,1,0,36,25,0,492,69,8,423,1.63
CHARLTON-ST. GEORGE,13,5,0,292,274,0,0,0,0,1,1,0,1,1,0,1,4,0,33,23,0,649,83,27,566,4.16
CHARLTON-AMERICAN LEGION,2,9,0,279,303,1,2,2,0,2,1,0,1,0,0,0,4,0,26,26,0,658,75,23,583,3.5
CHARLTON-HOMELAND,24,23,0,299,375,1,1,1,0,1,4,0,1,0,0,1,3,0,46,31,0,811,136,59,675,7.27
CHARLTON-FOLKSTON FIRE,10,11,0,277,333,1,5,1,0,1,2,0,0,0,0,1,1,0,41,41,0,725,114,32,611,4.41
CHARLTON-RACEPOND,1,2,0,99,120,0,0,0,0,0,1,0,0,0,0,0,0,0,13,9,0,245,26,4,219,1.63
CHARLTON-WINOKUR,5,2,0,122,142,0,0,0,0,1,0,0,0,0,0,0,0,0,15,7,0,294,30,8,264,2.72
CHARLTON-Total,561,751,0,2027,2323,3,17,9,0,7,11,0,4,2,0,8,22,0,329,270,0,6344,1991,1392,4353,21.94
CHATHAM-FIRST PRESBYTERIAN ,67,70,0,1355,1572,4,15,14,0,27,21,0,2,5,0,22,29,0,105,132,3,3443,512,272,2931,7.9
CHATHAM-JEA BUILDING,102,106,1,914,1010,0,12,11,0,10,30,0,1,0,0,16,14,1,76,73,4,2381,457,304,1924,12.77
CHATHAM-CENTRAL CHURCH OF ,64,99,0,776,904,0,14,11,0,13,10,1,0,1,0,9,2,0,58,51,1,2014,334,224,1680,11.12
CHATHAM-GRACE UNITED ,122,147,0,576,730,3,15,13,0,14,16,0,0,0,0,5,13,0,51,51,0,1756,447,345,1309,19.65
CHATHAM-IMMANUEL BAPTIST ,152,176,0,182,229,0,9,8,0,10,15,0,1,2,0,18,3,0,37,36,2,880,469,394,411,44.77
CHATHAM-ISLE OF HOPE SCHOOL,6,4,0,436,557,0,4,3,0,3,2,0,0,0,0,3,1,0,17,21,0,1057,64,26,993,2.46
CHATHAM-ISLE OF HOPE BAPTIST,19,26,0,857,940,1,5,9,0,3,7,0,0,0,0,12,6,0,34,40,0,1959,161,87,1798,4.44
CHATHAM-THE SANCTUARY,105,131,0,407,525,0,10,12,0,10,10,0,0,0,0,5,11,0,29,34,0,1289,357,294,932,22.81
CHATHAM-ST LUKE CHURCH,101,126,0,593,679,0,8,8,0,8,15,0,0,0,0,8,9,0,37,42,2,1636,364,283,1272,17.3
CHATHAM-FERGUSON AVE BAPTIST,127,161,0,1052,1176,0,8,6,0,15,13,0,1,3,0,10,10,0,57,61,3,2703,475,354,2228,13.1
CHATHAM-ISLANDS CHRISTIAN CH,50,79,0,1279,1558,1,28,22,0,17,19,0,0,0,0,13,19,0,91,105,2,3283,445,247,2838,7.52
CHATHAM-BLACKSHEAR ,422,577,2,432,428,1,3,9,0,13,15,0,4,3,0,17,22,0,74,70,2,2094,1233,1087,861,51.91
CHATHAM-W W LAW CENTER,419,422,0,429,405,1,2,5,0,7,17,0,3,3,0,14,17,0,69,69,3,1885,1050,909,835,48.22
CHATHAM-FELLOWSHIP OF LOVE ,1140,1420,1,248,288,0,4,5,0,20,12,0,1,4,0,15,24,0,75,67,4,3328,2792,2646,536,79.51
CHATHAM-HOLY SPIRIT LUTHERAN ,592,682,0,366,390,2,5,8,0,23,12,0,0,0,0,24,18,0,80,60,4,2266,1508,1364,758,60.19
CHATHAM-ELI WHITNEY COMPLEX,178,268,1,56,66,1,0,1,0,2,2,0,1,0,0,4,1,0,11,12,0,604,481,458,123,75.83
CHATHAM-CHRIST COMMUNITY ,757,1138,3,376,387,0,5,7,0,10,11,0,1,1,0,10,17,0,61,61,3,2848,2085,1960,763,68.82
CHATHAM-SALVATION ARMY,1023,1330,5,437,502,1,6,8,0,20,22,0,1,1,0,17,29,0,72,79,1,3554,2614,2462,940,69.27
CHATHAM-S GARDENS CHRISTIAN,552,723,1,224,242,0,5,9,0,4,11,0,4,0,0,12,12,0,40,42,5,1886,1420,1333,466,70.68
CHATHAM-WILLIAMS COURT APTS,354,376,0,527,467,0,9,6,0,23,21,0,2,2,0,16,21,1,95,81,0,2001,1007,831,994,41.53
CHATHAM-OLD COURTHOUSE,8,12,0,255,248,0,2,4,0,8,10,0,2,0,0,2,3,0,39,28,0,621,118,51,503,8.21
CHATHAM-ROSE OF SHARON,86,92,0,716,800,3,5,11,0,15,17,0,1,1,0,9,9,0,95,94,1,1955,436,246,1519,12.58
CHATHAM-SAVANNAH HIGH SCHOOL,370,582,1,93,83,1,0,1,0,5,5,0,0,0,0,6,17,0,20,20,0,1204,1027,987,177,81.98
CHATHAM-FIRST AFRICAN BAPTIST ,593,753,0,65,71,0,7,4,0,1,4,0,0,0,0,4,13,0,19,33,2,1569,1433,1379,136,87.89
CHATHAM-ALDERSGATE YOUTH ,503,639,1,354,463,0,9,9,0,10,26,1,2,2,0,14,17,1,61,55,1,2168,1351,1234,817,56.92
CHATHAM-JENKINS HIGH SCHOOL,246,322,0,256,286,1,3,6,0,4,6,0,0,1,0,6,5,0,28,19,1,1190,647,599,543,50.34
CHATHAM-COKESBURY METHODIST ,38,42,1,236,299,1,3,4,0,4,5,0,0,0,0,4,4,0,6,8,0,655,119,105,536,16.03
CHATHAM-BIBLE BAPTIST CHURCH,935,1174,1,230,244,0,10,7,0,5,13,0,2,2,0,8,14,0,42,60,0,2747,2273,2171,474,79.03
CHATHAM-SOUTHSIDE BAPTIST CH,434,522,0,169,211,0,5,1,0,3,4,0,2,0,0,8,8,0,17,33,2,1419,1039,987,380,69.56
CHATHAM-THUNDERBOLT MUN ,221,309,0,490,578,1,18,7,0,9,15,0,3,0,0,9,9,0,43,50,2,1764,695,600,1069,34.01
CHATHAM-NEW COV 7 DAY ADV CH,1129,1504,2,429,493,0,9,18,0,19,26,1,5,2,0,31,51,0,93,73,9,3894,2972,2797,922,71.83
CHATHAM-RIVERVIEW HEALTH REH,707,860,2,256,277,1,11,13,0,10,9,0,1,3,0,8,16,0,42,49,5,2270,1736,1640,534,72.25
CHATHAM-ELI WHITNEY COMPLEX,134,147,0,192,205,0,1,1,0,1,1,0,0,0,0,1,5,0,13,12,1,714,317,291,397,40.76
CHATHAM-FRANK MURRAY ,115,132,0,871,971,1,49,35,1,17,33,0,2,0,0,16,17,0,87,89,0,2436,593,417,1843,17.12
CHATHAM-LIGHTHOUSE BAPTIST ,35,44,0,993,1118,1,11,16,0,9,9,0,1,3,0,6,6,0,56,59,1,2368,256,140,2112,5.91
CHATHAM-SAINT FRANCIS ,30,37,0,929,1128,0,11,14,0,8,19,0,0,0,0,12,15,0,60,62,2,2327,270,146,2057,6.27
CHATHAM-FIRST BAPTIST CHURCH ,40,49,0,888,973,0,15,13,0,10,10,0,0,1,0,11,13,0,53,58,1,2135,274,162,1861,7.59
CHATHAM-WILMINGTON ISLAND ,51,69,0,1332,1606,1,25,30,0,21,22,0,3,0,0,15,16,0,110,120,0,3421,482,252,2939,7.37
CHATHAM-WILMINGTON ISLAND ,22,36,0,1140,1391,0,17,13,0,10,15,0,1,2,0,7,3,0,52,53,6,2768,237,126,2531,4.55
CHATHAM-GUARD HOUSE COMM ,13,15,0,677,772,1,0,4,0,6,5,0,0,0,0,6,4,0,35,27,1,1566,116,53,1450,3.38
CHATHAM-TYBEE IS SCH CAFE,6,17,0,761,888,0,4,3,0,3,8,0,2,1,0,3,5,0,39,42,3,1785,136,52,1649,2.91
CHATHAM-ST PETERS EPISCOPAL,8,20,0,1015,1132,2,9,13,0,4,8,0,0,0,0,7,9,0,77,79,2,2385,236,78,2149,3.27
CHATHAM-SKID IS PRES CHURCH,10,13,0,1036,1175,0,8,14,0,8,3,0,0,0,0,8,3,0,69,65,2,2414,203,67,2211,2.78
CHATHAM-SKID METHODIST CH,6,6,0,752,841,0,11,8,1,3,4,0,1,0,0,3,3,0,46,47,0,1732,139,46,1593,2.66
CHATHAM-SKIDAWAY ISLAND STAT,5,10,0,771,958,0,10,6,0,1,12,0,0,0,0,2,2,0,42,48,1,1868,139,48,1729,2.57
CHATHAM-BARTLETT MIDDLE ,252,372,1,152,169,0,17,11,0,10,8,0,0,0,0,7,9,0,31,24,0,1063,742,687,321,64.63
CHATHAM-SENIOR CITIZEN CENTER,291,355,0,117,113,0,4,7,0,6,6,0,1,0,0,10,12,1,32,38,0,993,763,693,230,69.79
CHATHAM-BUTLER PRESBYTERIAN ,465,573,0,22,17,0,1,1,0,1,2,0,0,1,0,5,8,0,18,19,0,1133,1094,1057,39,93.29
CHATHAM-LIBERTY CITY ,1033,1255,1,12,16,0,0,1,0,4,1,0,2,0,0,6,5,0,38,38,3,2415,2387,2308,28,95.57
CHATHAM-SEED CHURCH,730,1115,2,314,294,1,14,11,0,70,72,1,6,2,0,11,15,1,110,92,2,2863,2254,2050,609,71.6
CHATHAM-ELKS LODGE,460,634,2,332,391,0,14,24,0,43,53,0,5,3,0,17,31,0,69,61,6,2145,1422,1286,723,59.95
CHATHAM-SAVANNAH PRIMITIVE ,381,582,0,309,408,1,2,8,0,24,29,0,0,1,0,11,17,0,36,70,4,1883,1165,1055,718,56.03
CHATHAM-JONESVILLE BAPT CH,1304,1805,3,102,125,0,3,1,0,6,21,0,3,3,0,14,19,0,66,70,4,3549,3322,3182,227,89.66
CHATHAM-LARGO-TIBET ELEMENTA,647,981,0,398,489,0,28,35,0,35,61,0,2,2,0,16,35,0,93,76,3,2901,2014,1842,887,63.5
CHATHAM-WHITE BLUFF ,326,435,0,389,483,0,8,15,0,20,35,0,2,0,0,13,17,0,50,60,2,1855,983,871,872,46.95
CHATHAM-WINDSOR FOREST ,219,287,1,747,875,3,1,10,0,8,14,0,1,0,0,6,11,0,43,64,2,2292,667,558,1625,24.35
CHATHAM-CRUSADER COMMUNITY ,400,518,0,581,650,0,24,30,0,30,31,0,3,1,0,16,19,0,75,85,5,2468,1237,1072,1231,43.44
CHATHAM-WINDSOR FOREST ,342,485,0,393,473,0,11,12,0,29,29,0,0,1,0,12,12,0,47,52,0,1898,1032,933,866,49.16
CHATHAM-THE LIGHT CHURCH,167,297,2,341,500,0,7,12,0,12,20,0,2,0,0,10,8,0,37,38,0,1453,612,537,841,36.96
CHATHAM-ST. FRANCIS CABRINI ,432,691,0,350,516,1,11,9,0,35,47,0,0,0,0,17,27,0,45,64,0,2245,1378,1269,867,56.53
CHATHAM-TRINITY LUTHERAN ,458,761,2,932,1246,3,39,40,0,51,75,0,2,2,0,36,53,0,103,129,4,3936,1755,1519,2181,38.59
CHATHAM-GEORGETOWN ,486,641,2,1150,1300,0,36,50,0,42,78,1,3,2,0,31,50,0,154,132,3,4161,1711,1422,2450,34.17
CHATHAM-BAMBOO FARMS,738,1007,0,881,1048,3,49,66,0,75,115,0,2,1,0,29,37,0,166,228,5,4450,2518,2119,1932,47.62
CHATHAM-GARDEN CITY SENIOR ,190,292,0,398,430,1,2,2,0,12,8,0,0,0,0,4,10,0,43,30,2,1424,595,520,829,36.52
CHATHAM-PB EDWARDS ,70,64,0,449,519,0,3,2,0,12,10,0,1,0,0,4,4,0,32,37,1,1208,240,170,968,14.07
CHATHAM-LAKE SHORE COMMUNITY ,763,1035,1,635,725,1,21,23,1,47,49,0,1,1,0,21,35,0,237,237,4,3837,2476,1998,1361,52.07
CHATHAM-WOODLAWN BAPTIST ,264,288,0,286,351,0,5,7,0,15,22,0,1,0,0,10,10,0,41,53,1,1354,717,622,637,45.94
CHATHAM-POOLER CITY HALL,271,488,0,767,868,1,12,15,0,29,55,0,1,2,0,16,13,0,111,129,2,2780,1144,902,1636,32.45
CHATHAM-ROTHWELL BAPTIST ,491,656,1,1816,1913,2,68,73,0,84,116,1,5,6,0,39,52,0,362,330,3,6018,2287,1592,3731,26.45
CHATHAM-BLOOMINGDALE ,82,92,0,940,1027,0,8,8,0,13,14,0,0,0,0,11,16,0,81,69,0,2361,394,244,1967,10.33
CHATHAM-SOUTHWEST BAPTIST ,326,420,1,659,738,0,26,28,0,29,42,0,2,1,0,19,31,0,102,101,3,2528,1131,925,1397,36.59
CHATHAM-PROGRESSIVE REC CTR,601,820,0,851,1051,4,24,21,0,72,94,1,3,1,0,32,33,0,154,157,5,3924,2018,1702,1906,43.37
CHATHAM-SEVENTH DAY ADV CHR,431,580,0,943,1017,0,29,33,0,84,80,0,3,1,0,23,31,0,248,224,6,3733,1773,1295,1960,34.69
CHATHAM-POOLER CHRURCH,661,809,0,1393,1596,0,55,56,0,83,102,0,0,3,0,30,34,0,268,221,5,5316,2327,1833,2989,34.48
CHATHAM-GARDEN CITY CITY HAL,117,112,0,869,960,0,37,49,2,17,16,0,4,1,0,14,15,0,79,95,0,2387,558,384,1829,16.09
CHATHAM-COASTAL CATHEDRAL,1248,1724,1,1296,1538,4,55,63,0,90,128,0,5,3,0,44,55,0,259,268,8,6789,3951,3416,2838,50.32
CHATHAM-CIVIC CENTER,179,351,0,334,380,0,6,24,0,22,28,0,1,1,0,19,34,0,212,272,23,1886,1172,665,714,35.26
CHATHAM-BULL STREE BAPTIST ,303,397,1,607,606,2,3,19,0,30,26,0,1,1,0,25,23,0,104,102,2,2252,1037,829,1215,36.81
CHATHAM-SILK HOPE BAPTIST ,70,83,0,264,291,1,1,3,0,11,8,0,0,0,0,4,4,0,15,20,0,775,219,184,556,23.74
CHATHAM-WEST BROAD STREET ,546,911,1,57,50,0,1,2,0,2,6,0,0,0,0,8,17,0,33,30,1,1665,1558,1494,107,89.73
CHATHAM-TOMPKINS RECREATION ,445,537,2,26,29,0,1,1,0,7,5,0,1,1,0,5,11,0,18,19,2,1110,1055,1016,55,91.53
CHATHAM-WOODVILLE-TOMPKINS ,244,303,2,21,16,0,0,0,0,0,1,0,0,0,0,1,2,0,12,7,1,610,573,553,37,90.66
CHATHAM-RESURRECTION OF OUR ,732,867,0,24,20,0,2,0,0,1,8,0,0,0,0,6,5,0,32,28,3,1728,1684,1621,44,93.81
CHATHAM-MOSES JACKSON ,544,748,0,13,15,0,0,1,0,1,2,0,0,0,0,0,8,0,24,22,0,1378,1350,1304,28,94.63
CHATHAM-CARVER HEIGHTS COMM,803,977,2,19,19,0,2,3,0,3,1,0,0,0,0,7,3,0,35,24,2,1900,1862,1801,38,94.79
CHATHAM-BUTLER ELEMENTARY SC,594,758,1,7,8,0,0,0,0,2,0,0,1,0,0,4,3,0,15,19,0,1412,1397,1363,15,96.53
CHATHAM-BEACH HIGH SCHOOL,294,407,0,216,215,1,4,9,0,19,20,0,0,0,0,5,6,0,52,58,2,1308,876,764,432,58.41
CHATHAM-SAVANNAH CHRISTIAN S,116,106,0,272,302,1,1,0,0,33,29,0,2,1,0,2,6,0,39,25,2,937,362,296,575,31.59
CHATHAM-GARDEN CITY REC CTR,568,698,1,90,87,0,4,1,0,21,22,0,1,0,0,5,7,0,38,26,1,1570,1393,1328,177,84.59
CHATHAM-88888,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,3,2,1,50
CHATHAM-99999,99,52,1,20,15,0,2,1,1,5,2,0,0,0,0,5,2,0,2,3,8,218,183,170,35,77.98
CHATHAM-Total,32281,42837,53,47222,54166,59,1061,1217,6,1691,2161,7,117,85,0,1086,1400,5,6275,6416,212,198357,96910,84007,101447,42.35
CHATTAHOOCHEE-ACTIVITY CENTER,491,634,1,1149,1268,0,32,37,0,117,110,0,1,5,0,42,41,0,180,146,0,4254,1837,1511,2417,35.52
CHATTAHOOCHEE-88888,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,25
CHATTAHOOCHEE-99999,17,10,0,47,11,0,1,3,0,9,4,0,0,0,0,4,0,0,4,1,0,111,53,48,58,43.24
CHATTAHOOCHEE-Total,509,644,1,1196,1282,0,33,40,0,126,114,0,1,5,0,46,41,0,184,147,0,4369,1891,1560,2478,35.71
CHATTOOGA-COLDWATER,25,22,0,79,90,0,0,0,0,2,2,0,0,0,0,1,0,0,10,9,0,240,71,52,169,21.67
CHATTOOGA-DIRTSELLER,2,3,0,86,86,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,0,188,16,5,172,2.66
CHATTOOGA-HAYWOOD,0,0,0,61,70,0,0,0,0,0,0,0,0,0,0,0,2,0,11,10,0,154,23,2,131,1.3
CHATTOOGA-LYERLY,23,26,0,374,404,0,1,0,0,0,0,0,0,0,0,3,2,0,35,45,0,913,135,55,778,6.02
CHATTOOGA-TRION,22,32,0,1417,1616,1,5,8,0,35,25,0,1,1,0,5,4,0,132,133,1,3438,404,138,3034,4.01
CHATTOOGA-SUMMERVILLE,333,422,0,1738,2215,0,4,9,0,12,9,0,2,1,0,16,15,0,176,192,0,5144,1191,823,3953,16
CHATTOOGA-TELOGA,0,0,0,244,265,0,0,1,0,1,0,0,0,0,0,0,0,0,21,9,0,541,32,2,509,0.37
CHATTOOGA-DIRTTOWN,31,40,0,324,357,0,1,1,0,0,2,0,0,0,0,2,0,0,27,32,0,817,136,77,681,9.42
CHATTOOGA-SEMINOLE,3,6,0,52,65,0,0,0,0,0,0,0,0,0,0,1,0,0,5,6,0,138,21,10,117,7.25
CHATTOOGA-SUBLIGNA,0,1,0,195,213,0,2,3,0,0,0,0,0,1,0,2,2,0,16,16,0,451,43,11,408,2.44
CHATTOOGA-ALPINE,9,8,0,345,422,0,0,0,0,0,0,0,0,0,0,0,1,0,27,22,0,834,67,18,767,2.16
CHATTOOGA-CLOUDLAND,0,1,0,124,170,0,0,0,0,1,0,0,0,0,0,0,0,0,15,16,0,327,33,2,294,0.61
CHATTOOGA-PENNVILLE,8,13,0,238,312,0,2,3,0,9,3,0,0,0,0,0,1,0,28,24,0,641,91,39,550,6.08
CHATTOOGA-Total,456,574,0,5277,6285,1,15,25,0,60,41,0,3,3,0,30,27,0,510,518,1,13826,2263,1234,11563,8.93
CHEROKEE-AIR ACRES,52,59,0,1049,1177,0,19,27,0,49,58,0,2,0,0,22,18,1,121,100,0,2754,528,307,2226,11.15
CHEROKEE-ARNOLD MILL,49,44,0,1698,1839,1,9,22,0,44,60,0,0,0,0,26,19,0,154,160,0,4125,587,273,3538,6.62
CHEROKEE-AVERY,14,14,0,1189,1266,0,7,9,0,25,19,0,1,2,0,10,8,0,118,96,1,2779,324,109,2455,3.92
CHEROKEE-BALL GROUND,19,14,0,1365,1544,1,2,4,0,12,8,0,0,0,0,5,6,0,120,94,0,3194,284,70,2910,2.19
CHEROKEE-BASCOMB,86,102,0,1616,1767,1,13,23,0,35,53,0,0,1,0,21,21,0,135,134,1,4009,625,355,3384,8.86
CHEROKEE-BELLS,271,346,0,1589,1659,2,57,59,0,111,148,0,3,2,0,49,38,0,233,237,1,4805,1555,1084,3250,22.56
CHEROKEE-BOOTH,105,134,0,1583,1658,0,32,36,0,30,52,0,1,1,0,30,20,0,155,157,1,3995,754,441,3241,11.04
CHEROKEE-BRADSHAW,76,75,0,1636,1767,3,11,29,0,45,32,0,1,3,0,14,13,1,158,148,1,4013,607,300,3406,7.48
CHEROKEE-BRIDGEMILL,80,84,0,1991,2222,4,19,22,0,55,55,0,0,1,0,19,29,0,221,186,4,4992,775,364,4217,7.29
