Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
WALKER-FAIRVIEW,76,76,0,1140,1420,2,2,4,0,6,9,0,0,1,0,4,10,0,155,197,0,3102,540,188,2562,6.06
WALKER-88888,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,3,25
WALKER-Total,608,785,0,16474,19227,9,38,58,0,87,99,0,8,9,0,72,111,0,2288,2257,7,42137,6427,1875,35710,4.45
WALTON-BOLD SPRINGS,98,115,0,1569,1669,1,3,10,0,31,28,0,0,2,0,16,9,0,293,275,2,4121,882,312,3239,7.57
WALTON-WHATLEY,29,34,0,383,418,0,2,2,0,2,3,0,0,0,0,4,2,0,53,55,0,987,186,78,801,7.9
WALTON-WALKER PARK,113,121,0,1201,1374,1,27,32,0,12,15,0,0,0,0,12,5,0,233,219,2,3367,791,337,2576,10.01
WALTON-GRATIS,24,22,0,464,473,0,0,3,0,3,2,0,0,1,0,3,4,0,74,59,1,1133,196,62,937,5.47
WALTON-BETWEEN,174,206,0,1486,1708,0,10,10,0,21,16,0,0,1,0,15,20,0,300,313,1,4281,1087,473,3194,11.05
WALTON-WALNUT GROVE,41,59,0,876,992,2,2,4,0,10,9,0,0,1,0,5,9,0,161,156,2,2329,459,140,1870,6.01
WALTON-LOGANVILLE NORTH,162,199,0,1595,1847,1,25,17,0,27,43,0,1,0,0,25,24,0,377,385,0,4728,1285,523,3443,11.06
WALTON-SOCIAL CIRCLE,408,558,1,1174,1386,0,8,9,0,10,17,0,0,2,0,10,14,0,192,235,1,4025,1465,1037,2560,25.76
WALTON-SOUTH MONROE,252,349,1,981,1261,0,11,11,0,28,32,0,0,0,0,8,16,0,272,289,0,3511,1269,708,2242,20.17
WALTON-NORTH MONROE,727,1204,0,669,870,0,10,7,0,13,19,0,1,1,0,11,19,0,292,343,2,4188,2649,2012,1539,48.04
WALTON-LOGANVILLE SOUTH,187,283,1,1108,1318,1,20,22,0,25,39,0,1,0,0,23,18,0,285,307,1,3639,1212,619,2427,17.01
WALTON-WEST WALTON,115,114,0,1454,1574,1,5,5,0,26,24,0,0,1,0,8,9,0,275,240,1,3852,823,307,3029,7.97
WALTON-BROKEN ARROW,94,127,0,1453,1662,0,8,11,0,16,18,0,2,0,0,6,11,0,289,273,1,3971,856,293,3115,7.38
WALTON-BAY CREEK,72,84,0,1191,1215,1,7,6,1,15,20,0,1,1,0,9,12,0,195,216,0,3046,639,228,2407,7.49
WALTON-E MONROE,415,772,0,747,943,3,5,2,0,17,22,0,0,1,0,9,25,0,249,286,0,3496,1803,1268,1693,36.27
WALTON-W MONROE,72,90,0,702,748,0,4,6,0,1,9,0,0,0,0,3,5,0,117,122,0,1879,429,190,1450,10.11
WALTON-TARA,253,333,0,890,1020,3,16,23,0,18,28,0,3,1,0,13,16,0,265,284,1,3167,1254,704,1913,22.23
WALTON-MOUNTAIN,33,44,0,422,483,0,4,5,0,7,5,0,2,0,0,1,5,0,78,89,0,1178,273,106,905,9
WALTON-JERSEY,21,25,0,654,740,0,1,3,0,3,8,0,0,1,0,6,3,0,104,95,1,1665,271,71,1394,4.26
WALTON-BLASINGAME,26,46,0,398,392,0,0,1,0,1,1,0,0,0,0,2,0,0,60,61,0,988,198,77,790,7.79
WALTON-GOOD HOPE,68,63,0,606,631,1,2,5,0,5,10,0,0,1,0,4,3,0,87,98,0,1584,346,161,1238,10.16
WALTON-99999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,3,0,100
WALTON-Total,3385,4849,3,20023,22724,15,170,194,1,291,368,0,11,14,0,194,229,0,4251,4400,16,61138,18376,9709,42762,15.88
WARE-100,1303,2157,0,373,526,1,2,6,0,11,16,0,1,2,0,7,18,0,121,92,1,4637,3737,3523,900,75.98
WARE-200A,245,385,0,809,972,1,7,15,0,9,12,0,0,0,0,4,12,0,73,52,1,2597,815,689,1782,26.53
WARE-200B,171,288,1,192,240,0,4,3,0,4,2,0,0,0,0,2,5,0,27,16,0,955,523,480,432,50.26
