Precinct,BM,BF,BU,WM,WF,WU,APacM,APacF,APacU,HM,HF,HU,NM,NF,NU,OM,OF,OU,UNKNOWN MALE,UNKNOWN FEMALE,UNKNOWN,TOTAL VOTERS,POW_w_Un_Voters,POW_wo_Un_Voters,White_Voters,POC %
WALKER-Total,608,785,0,16474,19227,9,38,58,0,87,99,0,8,9,0,72,111,0,2288,2257,7,42137,6427,1875,35710,4.45
WALTON-Total,3385,4849,3,20023,22724,15,170,194,1,291,368,0,11,14,0,194,229,0,4251,4400,16,61138,18376,9709,42762,15.88
WARE-Total,2040,3290,2,6083,7359,8,43,59,0,65,80,0,13,6,1,32,57,0,494,375,7,20014,6564,5688,13450,28.42
WARREN-Total,891,1219,1,679,721,0,2,5,0,3,5,0,4,2,0,10,8,0,56,41,0,3647,2247,2150,1400,58.95
WASHINGTON-Total,2582,3840,0,2836,3208,1,13,13,0,11,24,0,3,2,0,19,18,0,153,144,1,12868,6823,6525,6045,50.71
WAYNE-Total,1082,1693,1,5801,6768,3,30,36,0,81,104,1,5,2,0,41,43,0,646,637,1,16975,4403,3119,12572,18.37
WHEELER-Total,362,448,1,1040,1113,0,0,2,0,9,14,0,2,2,0,2,6,0,34,29,0,3064,911,848,2153,27.68
WHITE-Total,111,121,0,7813,8721,3,32,31,0,68,69,0,3,8,0,27,23,0,322,315,1,17668,1131,493,16537,2.79
WHITFIELD-Total,917,1124,1,16719,19372,20,195,202,0,2896,2825,7,15,13,0,170,201,1,2618,2454,17,49767,13656,8567,36111,17.21
WILCOX-Total,588,801,0,1492,1669,1,6,5,0,22,20,0,3,2,0,4,7,0,27,18,1,4666,1504,1458,3162,31.25
WILKES-Total,1062,1566,1,1844,1995,2,7,9,0,9,13,0,2,3,0,11,12,0,84,79,0,6699,2858,2695,3841,40.23
WILKINSON-Total,1119,1483,1,1633,1801,0,5,6,0,2,5,0,1,0,0,11,8,0,85,55,1,6216,2782,2641,3434,42.49
WORTH-Total,1415,1953,1,4351,4848,3,9,17,0,24,33,0,2,2,0,34,35,0,217,163,4,13111,3909,3525,9202,26.89
